100	15293
101	15175
102	15378
103	15384
104	15267
105	14994
106	14914
107	14560
108	14417
109	14651
110	15063
111	15105
112	15032
113	14480
114	14245
115	14098
116	13520
117	13159
118	12928
119	13011
120	13170
121	13466
122	13757
123	14513
124	15356
125	16864
126	19551
127	22029
128	23098
129	24312
130	26274
131	27961
132	29936
133	32330
134	33060
135	33810
136	35250
137	36006
138	37322
139	38137
140	39127
141	40056
142	43350
143	49871
144	60864
145	75519
146	93302
147	111145
148	129500
149	147178
150	165122
151	179308
152	191568
153	202752
154	213947
155	225828
156	234351
157	243029
158	248161
159	255117
160	257714
161	261170
162	260163
163	261135
164	261456
165	261716
166	262192
167	263605
168	261710
169	258675
170	255680
171	250196
172	246382
173	241831
174	238614
175	232632
176	227098
177	220928
178	215402
179	209322
180	202784
181	194135
182	186223
183	179998
184	174558
185	168598
186	162557
187	157575
188	151314
189	146210
190	140906
191	135064
192	127972
193	124215
194	119114
195	114392
196	109718
197	104695
198	100692
199	96688
200	92178
201	88166.5
202	85094.5
203	81603
204	77593.5
205	73796.5
206	69987.5
207	67461.5
208	63887
209	60952.5
210	58955.5
211	56693.5
212	53876
213	51522.5
214	48434
215	47019
216	44459.5
217	42224
218	40044
219	38264
220	36317.5
221	35077.5
222	33418.5
223	31807.5
224	30533.5
225	28459.5
226	27458
227	26474
228	24928.5
229	23782.5
230	22770.5
231	21802
232	20847
233	20120.5
234	19318
235	18789.5
236	17554
237	16766
238	16154
239	15394.5
240	14846
241	14292
242	13879
243	13458
244	12924
245	12306
246	11962.5
247	11606.5
248	11006.5
249	10679
250	10296
251	9883
252	9906.5
253	9268
254	9074
255	8965.5
256	8475
257	8163.5
258	7762
259	7668.5
260	7418.5
261	7226.5
262	7274.5
263	6709.5
264	6685
265	6558.5
266	6137
267	6193.5
268	6140.5
269	5708.5
270	5724.5
271	5804
272	5614
273	5301
274	5354.5
275	5289
276	5018.5
277	5052
278	4989.5
279	4967
280	4769.5
281	4898
282	4926
283	4902.5
284	4768
285	4934.5
286	4876.5
287	4969.5
288	4848.5
289	5005.5
290	4994
291	5019
292	5177.5
293	5161.5
294	5409.5
295	5378.5
296	5495
297	5791
298	5847
299	5726.5
300	6041.5
301	6223.5
302	6197.5
303	6190
304	6307.5
305	6487
306	6591.5
307	6348
308	6788
309	6827
310	6894
311	6919
312	6765.5
313	6989.5
314	7301
315	7358
316	7287
317	7482.5
318	7373
319	7420
320	7550
321	7526
322	7642
323	7651.5
324	7855.5
325	7866
326	7880.5
327	8122.5
328	8102.5
329	8107.5
330	8202
331	8368
332	8367.5
333	8508.5
334	8355.5
335	8686
336	8749
337	8868.5
338	9140
339	9125
340	9378.5
341	9562.5
342	9511
343	9521.5
344	9615
345	9926.5
346	9912
347	10066
348	10356.5
349	10356
350	10402.5
351	10353
352	10602
353	10420
354	10705
355	11023
356	10988.5
357	11264
358	11146
359	11151
360	11120
361	11367.5
362	11268
363	11138.5
364	11218.5
365	11170.5
366	11254
367	11245.5
368	11338
369	11004
370	11087
371	11006
372	10838
373	10878.5
374	10831
375	10700
376	10448
377	10557.5
378	10401
379	10300
380	10097.5
381	9848
382	10076
383	9704
384	9417
385	9474
386	9160
387	9073.5
388	8811
389	8897
390	8619.5
391	8366.5
392	8250
393	8000.5
394	7705
395	7575.5
396	7428
397	7378.5
398	7164.5
399	6804.5
400	6789
401	6588
402	6378
403	6100
404	5857.5
405	5903
406	5752.5
407	5777
408	5482
409	5189
410	5085.5
411	4899.5
412	4987
413	4605.5
414	4528
415	4431
416	4384.5
417	4024
418	4069.5
419	3949.5
420	3819
421	3648.5
422	3573.5
423	3403.5
424	3401
425	3467.5
426	3180
427	3156
428	3064.5
429	2958
430	2968.5
431	2935.5
432	2718.5
433	2640.5
434	2553
435	2476.5
436	2538.5
437	2426
438	2423
439	2337
440	2370
441	2192
442	2048
443	2108
444	2073
445	2112.5
446	1997
447	2078.5
448	1940
449	1982.5
450	1922
451	1826
452	1740
453	1726
454	1811.5
455	1733.5
456	1686
457	1716.5
458	1661.5
459	1650.5
460	1681
461	1551
462	1580.5
463	1577
464	1626
465	1476
466	1503
467	1595
468	1553.5
469	1577
470	1584.5
471	1532
472	1511
473	1415
474	1585
475	1561.5
476	1450.5
477	1407
478	1450.5
479	1512
480	1495
481	1439.5
482	1430
483	1482
484	1488.5
485	1531
486	1486
487	1511
488	1448.5
489	1543.5
490	1505
491	1473
492	1475.5
493	1545
494	1395.5
495	1513
496	1505.5
497	1534
498	1527
499	1498
50	21185
500	1596
501	1607
502	1544.5
503	1576
504	1542
505	1526.5
506	1636.5
507	1590
508	1685.5
509	1637
51	22522
510	1658
511	1572.5
512	1690.5
513	1831
514	1631.5
515	1821
516	1657
517	1699.5
518	1781
519	1784.5
52	23979
520	1732.5
521	1710
522	1767
523	1805
524	1703
525	1749.5
526	1912
527	1798
528	1781
529	1777
53	25442
530	1805.5
531	1903
532	1865.5
533	1910
534	1877
535	1926.5
536	1949.5
537	1939
538	1847.5
539	1915
54	26817
540	1975.5
541	1929
542	2016
543	1887
544	1877.5
545	2005
546	1986
547	1961
548	1935.5
549	2042.5
55	28418
550	2062.5
551	2039
552	1961
553	1933.5
554	1950
555	1980
556	1938
557	1891
558	1923.5
559	1996
56	29355
560	1940
561	1858.5
562	1889.5
563	1825
564	1869
565	1805
566	1787.5
567	1927.5
568	1723
569	1789.5
57	29901
570	1792
571	1782.5
572	1712.5
573	1756
574	1673
575	1674.5
576	1659
577	1618.5
578	1682.5
579	1585
58	30299
580	1601
581	1634
582	1617
583	1566.5
584	1492.5
585	1441
586	1474
587	1427.5
588	1357
589	1310.5
59	30453
590	1293
591	1318.5
592	1273.5
593	1318
