100	17355
101	17095
102	16689
103	16724
104	16443
105	16386
106	15607
107	15024
108	14437
109	14338
110	14165
111	14204
112	13803
113	13548
114	13042
115	12650
116	12270
117	11595
118	11139
119	11025
120	10831
121	10506
122	10351
123	10473
124	10462
125	10487
126	11050
127	11892
128	12727
129	13541
130	14559
131	16203
132	17339
133	19338
134	20693
135	21601
136	23130
137	24349
138	25917
139	27115
140	28261
141	29615
142	33314
143	39185
144	50231
145	65374
146	84027
147	105162
148	126835
149	147401
150	169753
151	188373
152	203249
153	218046
154	232102
155	247177
156	261598
157	274072
158	283197
159	293931
160	301628
161	309200
162	316126
163	322839
164	329882
165	340256
166	349092
167	357088
168	365012
169	368646
170	367310
171	368474
172	366121
173	364250
174	362267
175	360963
176	359525
177	358672
178	356130
179	352167
180	345270
181	339632
182	330276
183	320804
184	311313
185	305372
186	296847
187	291216
188	283594
189	276746
190	270091
191	260447
192	251367
193	241104
194	231260
195	221873
196	212822
197	204398
198	196888
199	190564
200	182885
201	175941
202	168748
203	159298
204	151598
205	143500
206	135082
207	128385
208	122113
209	116360
210	111779
211	106273
212	101212
213	96374
214	90742.5
215	85608.5
216	80066
217	75845.5
218	71313
219	67372.5
220	63567.5
221	60625
222	57526.5
223	54298
224	51544.5
225	48247.5
226	45381
227	42425
228	40056.5
229	37488.5
230	35342
231	33475.5
232	31677.5
233	29817.5
234	28283
235	27112
236	25190.5
237	23835
238	22455
239	20660.5
240	19805.5
241	18518
242	17457.5
243	17035
244	15940.5
245	15192.5
246	14371
247	13530
248	12638.5
249	11853
250	11390
251	10873
252	10326.5
253	9539
254	9200.5
255	8796.5
256	8395.5
257	7968
258	7581
259	7337.5
260	6880
261	6558.5
262	6156
263	5946
264	5711
265	5381.5
266	5165
267	4982
268	4811.5
269	4663.5
270	4493
271	4218
272	3914
273	4019
274	3964
275	3747
276	3732.5
277	3555.5
278	3491
279	3318.5
280	3369
281	3242.5
282	3190
283	3009
284	3098
285	3054
286	3096
287	2923.5
288	2930
289	2833.5
290	2959
291	3011.5
292	2965.5
293	2995.5
294	2857.5
295	3077
296	3195.5
297	3058
298	3180
299	3216
300	3312
301	3308
302	3308
303	3582
304	3592
305	3703
306	3751
307	3868.5
308	4029
309	3985.5
310	4096
311	4209
312	4415
313	4460
314	4532.5
315	4682
316	4875.5
317	5037
318	5095
319	5214
320	5317.5
321	5336.5
322	5754
323	5593.5
324	5839
325	6039
326	6199.5
327	6445
328	6531
329	6860.5
330	6860.5
331	7067.5
332	7217.5
333	7574
334	7743
335	7839.5
336	8146
337	8305.5
338	8856
339	9018.5
340	9472
341	9465
342	9683
343	10155.5
344	10373
345	10514.5
346	10965.5
347	11018.5
348	11662.5
349	11876
350	12037
351	12438.5
352	12716.5
353	12608
354	13106.5
355	13108
356	13647.5
357	13745.5
358	14106.5
359	14597.5
360	14487
361	14689.5
362	14672.5
363	15017
364	14926
365	15468.5
366	15183
367	15584
368	15624
369	15680
370	15738
371	15638
372	16108
373	15876
374	15768.5
375	15864.5
376	15653.5
377	15520.5
378	15399.5
379	15677
380	15309.5
381	15350
382	15204.5
383	15085.5
384	15096
385	14863.5
386	14563
387	14480
388	13846
389	13902.5
390	13732
391	13534.5
392	13254
393	13092.5
394	12646
395	12554
396	12186.5
397	11923
398	11653.5
399	11525
400	11161
401	10683
402	10599
403	10609.5
404	9925
405	9600
406	9584
407	9155.5
408	8651.5
409	8551.5
410	8394.5
411	8059.5
412	7917.5
413	7691
414	7441
415	7178
416	6954.5
417	6585
418	6406
419	6301.5
420	5827
421	5617.5
422	5561.5
423	5416
424	5132
425	4913
426	4793
427	4596
428	4465.5
429	4161.5
430	4176
431	4009.5
432	3758.5
433	3687.5
434	3538.5
435	3368.5
436	3288
437	3070.5
438	3070
439	2872.5
440	2859.5
441	2647
442	2577.5
443	2471
444	2406
445	2390
446	2257
447	2143.5
448	2078
449	2065
450	1884
