p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
1.45840300185061E-69;0.359972687922101;0.982;0.985;4.70845409147469E-65;Naive;Rpl6
5.85040123645122E-66;0.258968105813566;0.994;0.999;1.88880203918828E-61;Naive;Rpsa
9.5856651968409E-66;1.18316680124448;0.241;0.109;3.09473200880009E-61;Naive;Foxp1
5.5351152858504E-62;0.307697228715912;0.983;0.986;1.7870119700368E-57;Naive;Rpl28
2.10340874235494E-61;0.327203009433918;0.971;0.985;6.79085512469292E-57;Naive;Rpl36
1.52327182657978E-59;0.326003855497897;0.985;0.981;4.91788309211281E-55;Naive;Rps26
4.53607373359566E-59;1.02394615214942;0.202;0.085;1.46447140489136E-54;Naive;Evl
7.43911930788096E-56;0.25880819578982;0.995;0.997;2.40171966854937E-51;Naive;mt-Co3
2.52230865930258E-55;0.263639539492647;0.992;0.996;8.14327350655837E-51;Naive;Rpl11
4.28284059550534E-53;1.11588428949086;0.303;0.175;1.3827150862589E-48;Naive;Ccnd2
1.70351145930018E-48;0.495024249268923;0.816;0.83;5.49978674635064E-44;Naive;mt-Nd4
7.59715599312401E-47;0.803304763113225;0.102;0.031;2.45274181238009E-42;Naive;Dtx1
2.48435158215362E-46;0.309332168746108;0.97;0.972;8.02072908298295E-42;Naive;Rpl3
3.71003554039521E-45;0.622187256349064;0.708;0.74;1.19778497421659E-40;Naive;Rpl22l1
2.13977521821263E-44;0.790905275433489;0.549;0.487;6.90826429199947E-40;Naive;Btg1
1.32923368778581E-38;1.00357843687652;0.24;0.139;4.29143096101648E-34;Naive;Satb1
1.13995586470171E-33;1.03274607708765;0.045;0.168;3.68034750918947E-29;Naive;Igkc
1.23137155406297E-33;0.731490431156933;0.101;0.037;3.97548306229229E-29;Naive;Tespa1
4.4578278185816E-32;0.481674720717479;0.71;0.709;1.43920971122907E-27;Naive;Npm1
2.85887066635346E-31;0.402742610783123;0.799;0.841;9.22986394632216E-27;Naive;Rpl35
2.47883381495753E-29;0.908973914782678;0.212;0.127;8.0029149715904E-25;Naive;Rapgef6
6.69554191246128E-29;0.76987777848669;0.117;0.051;2.16165570643812E-24;Naive;Pik3ip1
1.22428214182504E-26;0.323138419733513;0.884;0.892;3.95259489488216E-22;Naive;Rps17
3.39397345382259E-26;0.723872410509943;0.109;0.049;1.09574432956662E-21;Naive;Inpp4b
1.04515971168285E-21;0.295838358064151;0.84;0.862;3.37429812916807E-17;Naive;mt-Nd1
6.80982200372119E-21;0.682416655020947;0.136;0.073;2.19855103390139E-16;Naive;Klf3
1.21753094049995E-20;0.309228464461782;0.81;0.863;3.93079864140408E-16;Naive;Rpl4
2.42239314759384E-18;0.703806920569382;0.125;0.069;7.8206962770067E-14;Naive;Rnf167
3.55385065904988E-18;0.504602977666472;0.607;0.624;1.14736068527425E-13;Naive;Klf2
3.81982695718662E-18;0.699862099308425;0.451;0.449;1.2332311331277E-13;Naive;Npc2
9.9263149307792E-18;0.717666995590224;0.144;0.085;3.20471077540207E-13;Naive;Smad7
6.36054931034065E-16;0.73326537061381;0.168;0.111;2.05350334484348E-11;Naive;Eif4a2
1.01088696168949E-14;0.707679606885647;0.22;0.163;3.2636485558145E-10;Naive;Ighm
1.01648419592829E-14;0.707133866942589;0.116;0.068;3.28171922655448E-10;Naive;Actn1
2.32269114737439E-14;0.306099816594392;0.751;0.819;7.49880836929821E-10;Naive;Rpl31
4.41530647054047E-14;0.530223873665264;0.569;0.635;1.42548169401399E-09;Naive;Ddx5
1.04537296116904E-13;0.757330927292142;0.231;0.18;3.37498660513424E-09;Naive;Fam189b
1.73359268302567E-12;0.733658930470519;0.238;0.191;5.59690397714839E-08;Naive;Klk8
2.11052417162461E-12;0.770254673454455;0.191;0.143;6.81382728809006E-08;Naive;Peli1
4.57001666121421E-12;0.655719181366617;0.117;0.073;1.47542987907301E-07;Naive;Fam78a
2.58569914678999E-11;0.409993247216802;0.579;0.654;8.34792969541148E-07;Naive;Limd2
3.80533527470751E-11;0.679906471368212;0.234;0.189;1.22855249343932E-06;Naive;Ablim1
3.81738052426366E-11;0.69409194884651;0.258;0.221;1.23244130225852E-06;Naive;Rps27rt
7.09123278978518E-11;0.664639525804206;0.253;0.214;2.28940450618214E-06;Naive;4930523C07Rik
8.76319078339433E-11;0.549639673138775;0.101;0.062;2.82919614441886E-06;Naive;Ssh2
4.71316096128612E-10;0.647098117265916;0.157;0.115;1.52164401635123E-05;Naive;Dgka
7.12240750989981E-10;0.580690177959484;0.164;0.12;2.29946926457115E-05;Naive;Jun
1.09450810165793E-09;0.656301984013805;0.271;0.239;3.53361940620261E-05;Naive;Pdcd4
2.47433487127539E-09;0.319110432408593;0.655;0.739;7.98839013191258E-05;Naive;Shisa5
3.53832984578769E-09;0.473377509097082;0.498;0.531;0.000114234979071;Naive;AY036118
7.10560030967277E-09;0.565619642964685;0.105;0.07;0.000229404305998;Naive;Snhg12
