p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
1,79692855406979e-93;0.32849913546503;0.998;0.996;5.80138383681432E-103;TexProg;mt-Co1
1,78611979971333e-82;0.521713058489475;0.142;0.033;5.76648777337449E-92;TexProg;1810041H14Rik
3,46453226129196e-82;0.645964069024435;0.186;0.053;1.11852424055811E-91;TexProg;Ms4a4c
4,52832210940640e-76;0.473337898843387;0.109;0.021;1.46196879302186E-84;TexProg;H2-Oa
4,30176746472654e-72;0.611176502280772;0.191;0.061;1.38882562598696E-81;TexProg;Adk
1,12397575521478e-71;0.636921855123968;0.3;0.123;3.62875572571092E-81;TexProg;Pou2f2
4,90813646835279e-67;0.668653325419747;0.409;0.204;1.5845918588077E-76;TexProg;Itgb1
6,48577612102581e-65;0.598821966588602;0.294;0.126;2.09393282067318E-74;TexProg;1110038B12Rik
1,60411362817411e-62;0.730721724678149;0.422;0.228;5.17888084856011E-72;TexProg;Batf
4,40394898974673e-57;0.527219038297442;0.235;0.093;1.42181493133973E-66;TexProg;Bzw2
4,06250020872912e-53;0.553286917254085;0.196;0.072;1.3115781923882E-62;TexProg;Dleu2
4,29829629729080e-53;0.506883740120717;0.251;0.105;1.38770495958034E-61;TexProg;Traf1
4,85624199034117e-50;0.59116259702467;0.198;0.075;1.56783772658165E-59;TexProg;Gpr183
1,29866727732524e-49;0.293697322860381;0.988;0.974;4.19274730484454E-59;TexProg;Rps2
3,76517209532648e-48;0.565455010546595;0.392;0.211;1.21558581097615E-57;TexProg;Zfas1
1,15612382747005e-47;0.386275535803916;0.12;0.034;3.73254577698706E-57;TexProg;Pacsin1
2,67333281445574e-43;0.604906099264091;0.466;0.278;8.63085499147036E-53;TexProg;Junb
6,09338461916882e-39;0.454000996961902;0.268;0.128;1.96724922429866E-48;TexProg;Lamp1
5,29471736453761e-36;0.44178770539893;0.243;0.114;1.70939950114097E-45;TexProg;Fam162a
3,18940744284126e-35;0.389524091286716;0.155;0.059;1.0297001929213E-44;TexProg;Mrps6
6,69145085778810e-36;0.45459329814375;0.292;0.15;2.16033490943689E-44;TexProg;Tnfaip8
8,01534410563728e-35;0.431372015417212;0.214;0.095;2.587753844505E-44;TexProg;Map4k4
1,84296931046958e-34;0.443410615651605;0.199;0.087;5.95002641885104E-44;TexProg;Sdhaf1
5,33127856677485e-34;0.499008387535514;0.405;0.238;1.72120328528326E-43;TexProg;Fyn
2,73683609555575e-32;0.279186823257723;0.104;0.032;8.83587533450172E-42;TexProg;Sesn3
2,18375216146505e-31;0.500820808420253;0.304;0.165;7.05024385328992E-41;TexProg;Ubac2
2,42853185934789e-31;0.445165107825157;0.169;0.07;7.84051510790467E-41;TexProg;Kcnq1ot1
3,30401297242803e-31;0.42405701774688;0.172;0.072;1.06670058814839E-40;TexProg;Farsb
4,00798212163712e-30;0.379331725090167;0.206;0.093;1.29397702797054E-39;TexProg;Utrn
6,75866837667354e-30;0.469438874603418;0.102;0.032;2.18203608540905E-39;TexProg;Fos
1,04551913007375e-29;0.29011083628287;0.963;0.895;3.37545851144309E-39;TexProg;Rpl29
2,99890412197855e-29;0.379830801330056;0.201;0.091;9.68196195780774E-39;TexProg;Cd9
9,64363859953905e-29;0.408597306657665;0.369;0.215;3.11344872186118E-38;TexProg;Snhg8
2,88228455008152e-28;0.412943591104465;0.213;0.101;9.30545566993817E-38;TexProg;Ddit4
2,31255195480469e-27;0.409270036110364;0.102;0.034;7.46607398608693E-37;TexProg;Fosb
9,23276402536270e-28;0.314305048266934;0.126;0.047;2.98079786558835E-36;TexProg;Ehd3
1,99839709639591e-26;0.335584563697333;0.12;0.044;6.45182502571419E-36;TexProg;Pecam1
1,75634354561039e-25;0.32579805741445;0.102;0.035;5.67035513700315E-35;TexProg;Aim2
1,32825882115469e-24;0.343562312782157;0.152;0.064;4.2882836040979E-34;TexProg;Psen2
1,49666818565229e-24;0.341575146713566;0.182;0.083;4.83199323737843E-34;TexProg;Gpr18
2,70506390350943e-24;0.36567737457852;0.18;0.082;8.73329881248019E-34;TexProg;Nfkb1
1,82101070280179e-23;0.405633382054268;0.462;0.299;5.87913305399559E-33;TexProg;Pnrc1
4,87938764659362e-23;0.379716909424522;0.536;0.37;1.57531030170275E-32;TexProg;Mrpl52
8,25206618507164e-22;0.361692609922941;0.259;0.14;2.66417956785038E-31;TexProg;Sat1
2,92881960578780e-22;0.390098572418673;0.327;0.193;9.45569409728592E-31;TexProg;Cd28
6,27562201760369e-21;0.388474339182812;0.148;0.065;2.02608456838335E-30;TexProg;Rnf213
2,00091190613577e-20;0.410840465114753;0.255;0.142;6.45994408895932E-30;TexProg;Slc38a1
2,41853783907516e-20;0.395571033768207;0.26;0.142;7.80824941345416E-30;TexProg;Cd69
1,46470152689844e-19;0.312460964156175;0.113;0.044;4.72878887959162E-29;TexProg;Hgsnat
1,65092655141554e-18;0.311259114765445;0.142;0.063;5.33001637124508E-28;TexProg;Tspan3
4,57566969631340e-18;0.294353716328407;0.119;0.05;1.47725496145478E-26;TexProg;Irf2bp2
2,98299513313948e-16;0.268175749170466;0.112;0.046;9.63059978734082E-26;TexProg;Kbtbd11
6,24586231649151e-16;0.392868743285511;0.425;0.29;2.01647664887928E-25;TexProg;Celf2
8,37584112288526e-16;0.356097621571067;0.244;0.138;2.70414030652351E-25;TexProg;Serp1
1,08553195094952e-15;0.32235087798865;0.151;0.072;3.50463990364054E-25;TexProg;Ctsz
1,13818744340111e-15;0.293751010519614;0.107;0.044;3.67463816102049E-25;TexProg;Camk2d
1,27899340422262e-14;0.318781228297423;0.598;0.437;4.12923020553273E-24;TexProg;Gm10076
2,63161108167597e-14;0.274773791883524;0.115;0.049;8.49615637719088E-24;TexProg;Arid5a
3,36046053928546e-14;0.292135288273491;0.1;0.04;1.08492468510831E-23;TexProg;Socs1
5,22515483817694e-14;0.466199002828847;0.223;0.126;1.68694123950542E-23;TexProg;Isg15
1,12029540107817e-13;0.339231330215471;0.479;0.334;3.61687370238086E-23;TexProg;Cd27
3,18867653084098e-13;0.317983928700035;0.396;0.262;1.02946421798201E-22;TexProg;Anp32a
6,89905591632406e-12;0.291163693896629;0.102;0.043;2.22736020258522E-21;TexProg;Siah2
3,23653505084454e-11;0.250495152918128;0.169;0.088;1.04491534116516E-20;TexProg;Il16
5,06705761916174e-10;0.320613144843975;0.267;0.166;1.63589955234637E-19;TexProg;Cnot6l
6,54629905118442e-10;0.262543389701007;0.106;0.048;2.11347264867489E-19;TexProg;Arl14ep
1,30381375886268e-09;0.272317320417879;0.112;0.052;4.20936272048816E-19;TexProg;Wdr12
1,73093333003055e-09;0.258268724675733;0.218;0.126;5.58831825600362E-19;TexProg;Irf7
7,77292999524679e-09;0.266075499021702;0.225;0.133;2.50949044896543E-18;TexProg;Mgst2
1,58920860263739e-08;0.291768783238124;0.314;0.206;5.13075997361483E-18;TexProg;Pgam1
3,82316391474731e-08;0.275713347879577;0.271;0.17;1.23430846987617E-17;TexProg;Ankrd12
3,98656618943406e-08;0.285150426377618;0.128;0.064;1.28706289425879E-17;TexProg;AC149090.1
7,58717951948760e-09;0.277836998954454;0.452;0.327;2.44952090786657E-17;TexProg;Sh2d1a
2,07216295053928e-07;0.267031644847299;0.416;0.293;6.68997808581608E-17;TexProg;Prrc2c
3,85663047370305e-07;0.258340382290895;0.506;0.367;1.24511314843503E-16;TexProg;Jak1
6,47667248936609e-07;0.280114578981027;0.442;0.318;2.09099371319184E-16;TexProg;Ptp4a2
8,92939379794187e-07;0.250827873852843;0.199;0.117;2.88285478766553E-16;TexProg;Abhd8
1,02240705285420e-07;0.274397466562165;0.128;0.066;3.30084117013979E-16;TexProg;Eml4
1,89983210476502e-06;0.328970931198517;0.477;0.353;6.13360795023386E-16;TexProg;Zfp36l2
5,53210318595383e-06;0.291529767267423;0.153;0.085;1.78603951358519E-15;TexProg;Zfpm1
5,61563665826398e-06;0.298056198598542;0.171;0.098;1.81300829512052E-15;TexProg;H2-Q4
2,04871073604564e-05;0.265956631704884;0.397;0.284;6.61426261132333E-15;TexProg;Gdi2
3,00559730310633e-05;0.341846558937905;0.103;0.051;9.70357089307878E-15;TexProg;Isg20
5,19499575703849e-05;0.25273638106732;0.16;0.091;1.67720438015988E-14;TexProg;Ptpn11
1,53375574998991e-04;0.312392602673139;0.371;0.264;4.95173043884243E-14;TexProg;Bst2
2,41297974701610e-05;0.255964072163229;0.454;0.335;7.79030511324149E-14;TexProg;Ddx24
8,19158681179312e-03;0.293083140227356;0.102;0.052;2.64465380218741E-12;TexProg;Dusp1
4,26972345266845e+01;0.257622228918144;0.185;0.123;1.37848021669401E-08;TexProg;Icos
