## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-WT-RUNX3-rep2_RmBlacklist_sorted.bam --OUTPUT /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/CnR-20241114-CD8--Tim3--T-WT-RUNX3-rep2_RmBlacklist_sorted_mDup.bam --METRICS_FILE /home/mwaldherr/Paper_RicaWaldherr_2025/analysis_cutnrun/results/bowtie2/mm10_sorted/picard_summary/CnR-20241114-CD8--Tim3--T-WT-RUNX3-rep2_RmBlacklist_picard_mDup.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 04 18:50:59 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	13832833	0	4171516	0	1745492	821362	0.126185	87208249

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.058259	10784424	0	11463221
2.0	1.961295	1107076	658399	545048
3.0	2.731875	143523	65666	44779
4.0	3.389428	25908	8528	11240
5.0	3.950532	7891	1213	5418
6.0	4.429335	3910	194	3455
7.0	4.837907	2483	32	2324
8.0	5.186552	1810	1	1769
9.0	5.484057	1375	2	1320
10.0	5.737925	963	0	959
11.0	5.954557	839	1	781
12.0	6.139413	652	0	648
13.0	6.297155	559	0	559
14.0	6.431759	484	0	487
15.0	6.54662	386	0	362
16.0	6.644634	336	0	329
17.0	6.728271	358	0	335
18.0	6.79964	263	0	270
19.0	6.860541	248	0	253
20.0	6.912509	214	0	194
21.0	6.956854	185	0	183
22.0	6.994696	164	0	167
23.0	7.026986	148	0	149
24.0	7.05454	155	0	144
25.0	7.078053	138	0	128
26.0	7.098117	107	0	121
27.0	7.115238	104	0	104
28.0	7.129847	114	0	105
29.0	7.142314	79	0	71
30.0	7.152952	76	0	80
31.0	7.16203	75	0	72
32.0	7.169776	74	0	75
33.0	7.176386	74	0	69
34.0	7.182027	61	0	56
35.0	7.18684	57	0	60
36.0	7.190947	47	0	54
37.0	7.194452	56	0	52
38.0	7.197443	48	0	45
39.0	7.199995	40	0	33
40.0	7.202172	32	0	34
41.0	7.204031	31	0	29
42.0	7.205616	33	0	36
43.0	7.20697	30	0	36
44.0	7.208124	42	0	48
45.0	7.209109	47	0	32
46.0	7.20995	25	0	30
47.0	7.210668	34	0	26
48.0	7.21128	20	0	18
49.0	7.211802	19	0	24
50.0	7.212248	27	0	24
51.0	7.212628	23	0	23
52.0	7.212953	25	0	24
53.0	7.21323	22	0	18
54.0	7.213466	13	0	18
55.0	7.213668	17	0	16
56.0	7.21384	16	0	16
57.0	7.213987	18	0	13
58.0	7.214112	12	0	19
59.0	7.214219	15	0	8
60.0	7.214311	11	0	10
61.0	7.214388	7	0	9
62.0	7.214455	10	0	12
63.0	7.214512	11	0	13
64.0	7.21456	15	0	19
65.0	7.214601	17	0	13
66.0	7.214636	12	0	9
67.0	7.214667	6	0	12
68.0	7.214692	9	0	3
69.0	7.214714	8	0	6
70.0	7.214733	5	0	8
71.0	7.214749	12	0	10
72.0	7.214762	6	0	5
73.0	7.214774	7	0	8
74.0	7.214784	9	0	7
75.0	7.214792	9	0	11
76.0	7.2148	6	0	7
77.0	7.214806	11	0	13
78.0	7.214811	7	0	3
79.0	7.214815	7	0	7
80.0	7.214819	10	0	12
81.0	7.214822	7	0	2
82.0	7.214825	4	0	5
83.0	7.214828	9	0	9
84.0	7.21483	5	0	3
85.0	7.214831	2	0	3
86.0	7.214833	5	0	4
87.0	7.214834	4	0	7
88.0	7.214835	5	0	5
89.0	7.214836	7	0	11
90.0	7.214837	6	0	4
91.0	7.214838	6	0	2
92.0	7.214838	2	0	5
93.0	7.214839	4	0	4
94.0	7.214839	3	0	1
95.0	7.214839	2	0	2
